"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloguer_mitja","Preu"
2016,"1",8,"Nou Barris",45,"Porta","Lloguer mitjÃ  mensual (Euros/mes)",536.66
2016,"1",8,"Nou Barris",46,"el TurÃ³ de la Peira","Lloguer mitjÃ  mensual (Euros/mes)",537.93
2016,"1",8,"Nou Barris",47,"Can Peguera","Lloguer mitjÃ  mensual (Euros/mes)",NA
2016,"1",8,"Nou Barris",48,"la Guineueta","Lloguer mitjÃ  mensual (Euros/mes)",589.2
2016,"1",8,"Nou Barris",49,"Canyelles","Lloguer mitjÃ  mensual (Euros/mes)",619.85
2016,"1",8,"Nou Barris",50,"les Roquetes","Lloguer mitjÃ  mensual (Euros/mes)",455.65
2016,"1",8,"Nou Barris",51,"Verdun","Lloguer mitjÃ  mensual (Euros/mes)",539.59
2016,"1",8,"Nou Barris",52,"la Prosperitat","Lloguer mitjÃ  mensual (Euros/mes)",518.02
2016,"1",8,"Nou Barris",53,"la Trinitat Nova","Lloguer mitjÃ  mensual (Euros/mes)",423.18
2016,"1",8,"Nou Barris",54,"Torre BarÃ³","Lloguer mitjÃ  mensual (Euros/mes)",392.44
2016,"1",8,"Nou Barris",55,"Ciutat Meridiana","Lloguer mitjÃ  mensual (Euros/mes)",344.26
2016,"1",8,"Nou Barris",56,"Vallbona","Lloguer mitjÃ  mensual (Euros/mes)",418
2016,"1",9,"Sant Andreu",57,"la Trinitat Vella","Lloguer mitjÃ  mensual (Euros/mes)",422.37
2016,"1",9,"Sant Andreu",58,"BarÃ³ de Viver","Lloguer mitjÃ  mensual (Euros/mes)",142.34
2016,"1",9,"Sant Andreu",59,"el Bon Pastor","Lloguer mitjÃ  mensual (Euros/mes)",472.39
2016,"1",9,"Sant Andreu",60,"Sant Andreu","Lloguer mitjÃ  mensual (Euros/mes)",624.75
2016,"1",9,"Sant Andreu",61,"la Sagrera","Lloguer mitjÃ  mensual (Euros/mes)",658.12
2016,"1",9,"Sant Andreu",62,"el CongrÃ©s i els Indians","Lloguer mitjÃ  mensual (Euros/mes)",613.71
2016,"1",9,"Sant Andreu",63,"Navas","Lloguer mitjÃ  mensual (Euros/mes)",665.34
2016,"1",10,"Sant MartÃ­",64,"el Camp de l'Arpa del Clot","Lloguer mitjÃ  mensual (Euros/mes)",659.58
2016,"1",10,"Sant MartÃ­",65,"el Clot","Lloguer mitjÃ  mensual (Euros/mes)",645.42
2016,"1",10,"Sant MartÃ­",66,"el Parc i la Llacuna del Poblenou","Lloguer mitjÃ  mensual (Euros/mes)",799.63
2016,"1",10,"Sant MartÃ­",67,"la Vila OlÃ­mpica del Poblenou","Lloguer mitjÃ  mensual (Euros/mes)",1136
2016,"1",10,"Sant MartÃ­",68,"el Poblenou","Lloguer mitjÃ  mensual (Euros/mes)",719.12
2016,"1",10,"Sant MartÃ­",69,"Diagonal Mar i el Front MarÃ­tim del Poblenou","Lloguer mitjÃ  mensual (Euros/mes)",1004.51
2016,"1",10,"Sant MartÃ­",70,"el BesÃ²s i el Maresme","Lloguer mitjÃ  mensual (Euros/mes)",506.7
2016,"1",10,"Sant MartÃ­",71,"ProvenÃ§als del Poblenou","Lloguer mitjÃ  mensual (Euros/mes)",758.81
2016,"1",10,"Sant MartÃ­",72,"Sant MartÃ­ de ProvenÃ§als","Lloguer mitjÃ  mensual (Euros/mes)",688.49
2016,"1",10,"Sant MartÃ­",73,"la Verneda i la Pau","Lloguer mitjÃ  mensual (Euros/mes)",597.89
2016,"2",1,"Ciutat Vella",1,"el Raval","Lloguer mitjÃ  mensual (Euros/mes)",662.28
2016,"2",1,"Ciutat Vella",2,"el Barri GÃ²tic","Lloguer mitjÃ  mensual (Euros/mes)",806.24
