"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloguer_mitja","Preu"
2015,"1",9,"Sant Andreu",62,"el CongrÃ©s i els Indians","Lloguer mitjÃ  mensual (Euros/mes)",595.43
2015,"1",9,"Sant Andreu",63,"Navas","Lloguer mitjÃ  mensual (Euros/mes)",665.89
2015,"1",10,"Sant MartÃ­",64,"el Camp de l'Arpa del Clot","Lloguer mitjÃ  mensual (Euros/mes)",615.46
2015,"1",10,"Sant MartÃ­",65,"el Clot","Lloguer mitjÃ  mensual (Euros/mes)",618.57
2015,"1",10,"Sant MartÃ­",66,"el Parc i la Llacuna del Poblenou","Lloguer mitjÃ  mensual (Euros/mes)",722.23
2015,"1",10,"Sant MartÃ­",67,"la Vila OlÃ­mpica del Poblenou","Lloguer mitjÃ  mensual (Euros/mes)",1093.14
2015,"1",10,"Sant MartÃ­",68,"el Poblenou","Lloguer mitjÃ  mensual (Euros/mes)",682.84
2015,"1",10,"Sant MartÃ­",69,"Diagonal Mar i el Front MarÃ­tim del Poblenou","Lloguer mitjÃ  mensual (Euros/mes)",914.75
2015,"1",10,"Sant MartÃ­",70,"el BesÃ²s i el Maresme","Lloguer mitjÃ  mensual (Euros/mes)",512.89
2015,"1",10,"Sant MartÃ­",71,"ProvenÃ§als del Poblenou","Lloguer mitjÃ  mensual (Euros/mes)",612.11
2015,"1",10,"Sant MartÃ­",72,"Sant MartÃ­ de ProvenÃ§als","Lloguer mitjÃ  mensual (Euros/mes)",662.25
2015,"1",10,"Sant MartÃ­",73,"la Verneda i la Pau","Lloguer mitjÃ  mensual (Euros/mes)",609.22
2015,"2",1,"Ciutat Vella",1,"el Raval","Lloguer mitjÃ  mensual (Euros/mes)",598.91
2015,"2",1,"Ciutat Vella",2,"el Barri GÃ²tic","Lloguer mitjÃ  mensual (Euros/mes)",771.13
2015,"2",1,"Ciutat Vella",3,"la Barceloneta","Lloguer mitjÃ  mensual (Euros/mes)",598.16
2015,"2",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Lloguer mitjÃ  mensual (Euros/mes)",708.03
2015,"2",2,"Eixample",5,"el Fort Pienc","Lloguer mitjÃ  mensual (Euros/mes)",770.13
2015,"2",2,"Eixample",6,"la Sagrada FamÃ­lia","Lloguer mitjÃ  mensual (Euros/mes)",704.44
2015,"2",2,"Eixample",7,"la Dreta de l'Eixample","Lloguer mitjÃ  mensual (Euros/mes)",988.89
2015,"2",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Lloguer mitjÃ  mensual (Euros/mes)",906.14
2015,"2",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Lloguer mitjÃ  mensual (Euros/mes)",766.85
2015,"2",2,"Eixample",10,"Sant Antoni","Lloguer mitjÃ  mensual (Euros/mes)",746
2015,"2",3,"Sants-MontjuÃ¯c",11,"el Poble Sec","Lloguer mitjÃ  mensual (Euros/mes)",598.47
2015,"2",3,"Sants-MontjuÃ¯c",12,"la Marina del Prat Vermell","Lloguer mitjÃ  mensual (Euros/mes)",381.07
2015,"2",3,"Sants-MontjuÃ¯c",13,"la Marina de Port","Lloguer mitjÃ  mensual (Euros/mes)",536.18
2015,"2",3,"Sants-MontjuÃ¯c",14,"la Font de la Guatlla","Lloguer mitjÃ  mensual (Euros/mes)",687.33
2015,"2",3,"Sants-MontjuÃ¯c",15,"Hostafrancs","Lloguer mitjÃ  mensual (Euros/mes)",601.6
2015,"2",3,"Sants-MontjuÃ¯c",16,"la Bordeta","Lloguer mitjÃ  mensual (Euros/mes)",607.68
2015,"2",3,"Sants-MontjuÃ¯c",17,"Sants - Badal","Lloguer mitjÃ  mensual (Euros/mes)",606.78
2015,"2",3,"Sants-MontjuÃ¯c",18,"Sants","Lloguer mitjÃ  mensual (Euros/mes)",627.86
2015,"2",4,"Les Corts",19,"les Corts","Lloguer mitjÃ  mensual (Euros/mes)",817.24
2015,"2",4,"Les Corts",20,"la Maternitat i Sant Ramon","Lloguer mitjÃ  mensual (Euros/mes)",679.54
2015,"2",4,"Les Corts",21,"Pedralbes","Lloguer mitjÃ  mensual (Euros/mes)",1711.45
2015,"2",5,"SarriÃ -Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Lloguer mitjÃ  mensual (Euros/mes)",824.38
2015,"2",5,"SarriÃ -Sant Gervasi",23,"SarriÃ ","Lloguer mitjÃ  mensual (Euros/mes)",1101.15
2015,"2",5,"SarriÃ -Sant Gervasi",24,"les Tres Torres","Lloguer mitjÃ  mensual (Euros/mes)",1337.79
2015,"2",5,"SarriÃ -Sant Gervasi",25,"Sant Gervasi - la Bonanova","Lloguer mitjÃ  mensual (Euros/mes)",1056.07
2015,"2",5,"SarriÃ -Sant Gervasi",26,"Sant Gervasi - Galvany","Lloguer mitjÃ  mensual (Euros/mes)",1095.7
2015,"2",5,"SarriÃ -Sant Gervasi",27,"el Putxet i el FarrÃ³","Lloguer mitjÃ  mensual (Euros/mes)",790.21
2015,"2",6,"GrÃ cia",28,"Vallcarca i els Penitents","Lloguer mitjÃ  mensual (Euros/mes)",712.75
2015,"2",6,"GrÃ cia",29,"el Coll","Lloguer mitjÃ  mensual (Euros/mes)",539.58
2015,"2",6,"GrÃ cia",30,"la Salut","Lloguer mitjÃ  mensual (Euros/mes)",637.81
2015,"2",6,"GrÃ cia",31,"la Vila de GrÃ cia","Lloguer mitjÃ  mensual (Euros/mes)",726.61
2015,"2",6,"GrÃ cia",32,"el Camp d'en Grassot i GrÃ cia Nova","Lloguer mitjÃ  mensual (Euros/mes)",712.64
2015,"2",7,"Horta-GuinardÃ³",33,"el Baix GuinardÃ³","Lloguer mitjÃ  mensual (Euros/mes)",631.05
2015,"2",7,"Horta-GuinardÃ³",34,"Can BarÃ³","Lloguer mitjÃ  mensual (Euros/mes)",539.56
2015,"2",7,"Horta-GuinardÃ³",35,"el GuinardÃ³","Lloguer mitjÃ  mensual (Euros/mes)",596.15
2015,"2",7,"Horta-GuinardÃ³",36,"la Font d'en Fargues","Lloguer mitjÃ  mensual (Euros/mes)",749.23
2015,"2",7,"Horta-GuinardÃ³",37,"el Carmel","Lloguer mitjÃ  mensual (Euros/mes)",504.61
2015,"2",7,"Horta-GuinardÃ³",38,"la Teixonera","Lloguer mitjÃ  mensual (Euros/mes)",547.25
